CodeRNCP;code;Libelle;;;
RNCP10342;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10342;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10342;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10343;128;Droit, sciences politiques;;;
RNCP10343;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP10343;345t;Instruction, plaidoirie, élaboration des documents juridiques et notariaux;;;
RNCP10344;122;Economie;;;
RNCP10345;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP10346;128;Droit, sciences politiques;;;
RNCP10347;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP10347;114g;Mathématiques de l'informatique, mathématiques financières, statistique de la santé;;;
RNCP10348;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10348;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10348;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10349;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10349;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10349;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP1035;222;Transformations chimiques et apparentées (y.c. industrie pharmaceutique);;;
RNCP10350;313m;Finances, banques, assurances (non indiquée ou autre);;;
RNCP10350;313p;Organisation des services financiers;;;
RNCP10350;313w;Vente de produits financiers;;;
RNCP10351;313m;Finances, banques, assurances (non indiquée ou autre);;;
RNCP10351;313p;Organisation des services financiers;;;
RNCP10351;313w;Vente de produits financiers;;;
RNCP10352;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10352;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10352;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10354;122;Economie;;;
RNCP10355;122;Economie;;;
RNCP10355;128;Droit, sciences politiques;;;
RNCP10356;128;Droit, sciences politiques;;;
RNCP10357;121;Géographie;;;
RNCP10357;126;Histoire;;;
RNCP10358;128;Droit, sciences politiques;;;
RNCP10359;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10359;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10359;320m;Spécialités plurivalentes de la communication et de l'information;;;
